timestamp,switch_id,porta,tx_bytes,rx_bytes,tx_pacotes,rx_pacotes
2026-06-25 01:59:31,1,1,53774,3937800,123,3794
2026-06-25 01:59:31,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:31,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:34,1,1,53774,3937800,123,3794
2026-06-25 01:59:34,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:34,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:37,1,1,53774,3937800,123,3794
2026-06-25 01:59:37,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:37,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:40,1,1,53774,3937800,123,3794
2026-06-25 01:59:40,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:40,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:43,1,1,53774,3937800,123,3794
2026-06-25 01:59:43,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:43,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:46,1,1,53774,3937800,123,3794
2026-06-25 01:59:46,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:46,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:49,1,1,53774,3937800,123,3794
2026-06-25 01:59:49,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:49,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:52,1,1,53774,3937800,123,3794
2026-06-25 01:59:52,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:52,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:55,1,1,53774,3937800,123,3794
2026-06-25 01:59:55,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:55,1,3,54176808982,4099238,1050587,61351
2026-06-25 01:59:58,1,1,53774,3937800,123,3794
2026-06-25 01:59:58,1,2,4048814,54332593226,61273,1050093
2026-06-25 01:59:58,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:01,1,1,53774,3937800,123,3794
2026-06-25 02:00:01,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:01,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:04,1,1,53774,3937800,123,3794
2026-06-25 02:00:04,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:04,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:07,1,1,53774,3937800,123,3794
2026-06-25 02:00:07,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:07,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:10,1,1,53774,3937800,123,3794
2026-06-25 02:00:10,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:10,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:13,1,1,53774,3937800,123,3794
2026-06-25 02:00:13,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:13,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:16,1,1,53774,3937800,123,3794
2026-06-25 02:00:16,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:16,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:19,1,1,53774,3937800,123,3794
2026-06-25 02:00:19,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:19,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:22,1,1,53774,3937800,123,3794
2026-06-25 02:00:22,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:22,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:25,1,1,53774,3937800,123,3794
2026-06-25 02:00:25,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:25,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:28,1,1,53774,3937800,123,3794
2026-06-25 02:00:28,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:28,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:31,1,1,53774,3937800,123,3794
2026-06-25 02:00:31,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:31,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:34,1,1,53774,3937800,123,3794
2026-06-25 02:00:34,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:34,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:37,1,1,53774,3937800,123,3794
2026-06-25 02:00:37,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:37,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:40,1,1,53774,3937800,123,3794
2026-06-25 02:00:40,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:40,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:43,1,1,53774,3937800,123,3794
2026-06-25 02:00:43,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:43,1,3,54176808982,4099238,1050587,61351
2026-06-25 02:00:46,1,1,53774,3937800,123,3794
2026-06-25 02:00:46,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:46,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:00:49,1,1,53774,3937800,123,3794
2026-06-25 02:00:49,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:49,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:00:52,1,1,53774,3937800,123,3794
2026-06-25 02:00:52,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:52,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:00:55,1,1,53774,3937800,123,3794
2026-06-25 02:00:55,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:55,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:00:58,1,1,53774,3937800,123,3794
2026-06-25 02:00:58,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:00:58,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:01,1,1,53774,3937800,123,3794
2026-06-25 02:01:01,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:01:01,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:04,1,1,53774,3937800,123,3794
2026-06-25 02:01:04,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:01:04,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:07,1,1,53774,3937800,123,3794
2026-06-25 02:01:07,1,2,4048814,54332593226,61273,1050093
2026-06-25 02:01:07,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:10,1,1,53774,3937800,123,3794
2026-06-25 02:01:10,1,2,4048884,54332593226,61274,1050093
2026-06-25 02:01:10,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:13,1,1,53774,3937800,123,3794
2026-06-25 02:01:13,1,2,4048884,54332593226,61274,1050093
2026-06-25 02:01:13,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:16,1,1,53774,3937800,123,3794
2026-06-25 02:01:16,1,2,4048884,54332593226,61274,1050093
2026-06-25 02:01:16,1,3,54176809052,4099238,1050588,61351
2026-06-25 02:01:20,1,1,53774,3937870,123,3795
2026-06-25 02:01:20,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:20,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:23,1,1,53774,3937870,123,3795
2026-06-25 02:01:23,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:23,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:26,1,1,53774,3937870,123,3795
2026-06-25 02:01:26,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:26,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:29,1,1,53774,3937870,123,3795
2026-06-25 02:01:29,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:29,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:32,1,1,53774,3937870,123,3795
2026-06-25 02:01:32,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:32,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:35,1,1,53774,3937870,123,3795
2026-06-25 02:01:35,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:35,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:38,1,1,53774,3937870,123,3795
2026-06-25 02:01:38,1,2,4048954,54332593226,61275,1050093
2026-06-25 02:01:38,1,3,54176809122,4099238,1050589,61351
2026-06-25 02:01:41,1,1,53844,3937870,124,3795
2026-06-25 02:01:41,1,2,4049024,54332593226,61276,1050093
2026-06-25 02:01:41,1,3,54176809122,4099308,1050589,61352
2026-06-25 02:01:44,1,1,53844,3937870,124,3795
2026-06-25 02:01:44,1,2,4049024,54332593226,61276,1050093
2026-06-25 02:01:44,1,3,54176809122,4099308,1050589,61352
2026-06-25 02:01:47,1,1,53844,3937870,124,3795
2026-06-25 02:01:47,1,2,4049024,54332593226,61276,1050093
2026-06-25 02:01:47,1,3,54176809122,4099308,1050589,61352
2026-06-25 02:01:50,1,1,53844,3937870,124,3795
2026-06-25 02:01:50,1,2,4049024,54332593226,61276,1050093
2026-06-25 02:01:50,1,3,54176809122,4099308,1050589,61352
2026-06-25 02:01:53,1,1,53914,3937870,125,3795
2026-06-25 02:01:53,1,2,4049024,54332593226,61276,1050093
2026-06-25 02:01:53,1,3,54176809122,4099308,1050589,61352
2026-06-25 02:01:56,1,1,53984,3937870,126,3795
2026-06-25 02:01:56,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:01:56,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:01:59,1,1,53984,3937870,126,3795
2026-06-25 02:01:59,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:01:59,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:02,1,1,53984,3937870,126,3795
2026-06-25 02:02:02,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:02,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:05,1,1,53984,3937870,126,3795
2026-06-25 02:02:05,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:05,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:08,1,1,53984,3937870,126,3795
2026-06-25 02:02:08,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:08,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:11,1,1,53984,3937870,126,3795
2026-06-25 02:02:11,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:11,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:14,1,1,53984,3937870,126,3795
2026-06-25 02:02:14,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:14,1,3,54176809192,4099308,1050590,61352
2026-06-25 02:02:17,1,1,53984,3937870,126,3795
2026-06-25 02:02:17,1,2,4049024,54332593296,61276,1050094
2026-06-25 02:02:17,1,3,54176809192,4099308,1050590,61352
